Index,f1,f2,f3,f4,f5,f6,f7
1960-01-01,-0.4362085310577626,-0.3132936016423278,0.6786991054807531,0.4779780795321174,0.371764006301935,0.21329622681461613,0.0
1960-02-01,0.1520702778103555,0.42221019155706074,-0.20346462685962868,0.26283380522727157,-0.6345520696361685,-0.13482873221000907,-0.554201677903088
1960-03-01,-0.4454819206112597,0.13891033998095265,-0.11034054306177732,0.0703964933873241,-0.5771467795741819,-0.44339667396414395,-0.48940279142244514
1960-04-01,0.5119428382133981,0.35570038867981024,-0.3604297345396568,0.33686832082133833,-0.14825144482360628,-0.7044802084910817,-0.2444180445257996
1960-05-01,-0.6783475361582795,0.17232000132820574,0.1641579947042829,-0.049187602565937905,0.00687130366810406,-0.061646007524089,-0.2891583849219583
1960-06-01,-0.4701605267135982,-0.07703604451596124,-0.35097258552027244,-0.2698244937513171,-0.2872905399442739,-0.4410470467243669,0.30271277943098096
1960-07-01,-0.4702182344315889,0.02823214477636332,0.032481115299422963,-0.02641073255680057,-0.2933525085799789,-0.22808400517827665,0.10881538533648512
1960-08-01,-0.22910222199330585,-0.10149152179384895,-0.11824428600949866,0.02952238821064783,-0.14750083171719228,-0.29589428561928727,0.08461116015552334
1960-09-01,-0.49795287409462363,0.3824271891279035,-0.13613742783777055,0.12899715403224174,-0.1930794648749339,-0.25918445852950706,0.12232661251070892
1960-10-01,-0.5817312786030379,-0.1611549608407306,0.028113072222146297,0.34243373520726916,-0.19586528655337349,-0.2018968145942135,0.15103044787303485
1960-11-01,-0.47507522569135335,0.3174431196857616,-0.5677068861069444,-0.12203744541880118,-0.0947344714852202,-0.4018610123282964,0.3581559566980791
1960-12-01,-0.7183375834054628,0.15001589206790422,-0.5837744877180377,-0.06773966648327695,-0.22655308984883396,-0.38252294399586384,0.26108929791995394
1961-01-01,-0.5789052393743552,0.006885562541359247,-0.3124468028353491,0.1416438919397986,0.2927192510366476,-0.23906979352830485,0.42675820373389073
1961-02-01,-0.5183793935774008,-0.2172675432950048,-0.190897342743717,0.030263563306806296,0.157932711422902,-0.31451291900180556,0.002107289542495429
1961-03-01,-0.24672185112244824,-0.07523480635599622,-0.14312020593085192,0.2055196539235743,0.3613109836615783,-0.24240439455612492,0.3489018495439484
1961-04-01,-0.7811817555725683,-0.4885227378863204,0.3426932770129154,0.43464367080276584,0.5625216919564366,0.02592655056684992,-0.07727956472675963
1961-05-01,-0.2774402146880126,-0.3570882711634326,0.1913865677101888,0.49863900054269794,0.2524170227645716,-0.1517687860958815,-0.033761591109590976
1961-06-01,-0.1762508402439516,0.015855578961441755,0.1394112037772346,0.566638111004709,0.2825004553228651,0.01793913596562295,-0.15818080524224198
1961-07-01,-0.2623282171829311,-0.10856405774993333,-0.016229059279708448,0.7159418516213247,-0.01885125893255206,-0.03584727356957991,-0.2902086887135775
1961-08-01,-0.04807466167698507,0.0788607249069567,-0.03928677598237759,0.32992884652293614,0.4826939246197731,-0.09202755892812386,-0.2944664676419444
1961-09-01,-0.13787310500267136,0.32550004281499273,-0.3306224930682892,0.25801246472739414,-0.2061833835041314,-0.0937437678295999,-0.3836315237831075
1961-10-01,-0.18204137754121907,-0.2912575019050957,0.3192002318910652,0.38209919228100625,0.40198951571207053,0.029385651344147404,-0.19125409056765236
1961-11-01,0.08856195008562523,-0.25852902526408417,0.17491471837285538,0.32823720409484913,0.5066435451528046,-0.11393532043355045,-0.32882889054942954
1961-12-01,-0.05911956476308705,-0.03532601302331604,0.008940630807167789,0.41851242178493586,0.1998954070491843,-0.052885840529029046,-0.3349948138036038
1962-01-01,-0.10900115799979414,0.4759963425229581,-0.3518909521558078,0.3107148451717119,-0.4583896163904508,-0.05582865128992992,-0.16474130018268152
1962-02-01,0.132483722219281,-0.1314618755357873,0.11498662890142454,0.5508736591469374,0.2122800644130896,-0.12233920134291867,-0.15827456693085523
1962-03-01,-0.08042016607699098,0.07243029521664882,0.1243806321316192,0.11841332827285975,0.07628802188722673,-0.06457758137928489,-0.4144161602873235
1962-04-01,0.19935088593184097,0.26036918343279813,0.06036006332469117,0.3026148292457408,-0.2365876297416834,-0.05157012012390877,-0.39282645759072016
1962-05-01,-0.31895601544339747,0.35817627836993726,0.14257179724833582,0.31973846706050113,-0.41839315996041443,0.1216078301346512,-0.4337217965020588
1962-06-01,-0.41287169897262277,0.5575737050423799,0.3272427253630902,0.33178806362655217,-0.7207597385981264,0.2046882376533864,-0.18426511811508614
1962-07-01,-0.14751877605465125,-0.05503768021546897,0.10114963974836369,0.21370099447930857,0.3336956432804994,-0.010573005408048564,-0.186240565028234
1962-08-01,0.12578880070666731,-0.16948990640795422,-0.21664318253470397,0.16877350933982133,-0.1489798906888872,-0.1726828536986555,-0.05413114171332625
1962-09-01,0.023640132075219936,-0.17314767062001649,0.09331629979219984,0.337275714329801,-0.16791639925225743,-0.06950187174249657,0.04109246403986545
1962-10-01,-0.3110099857950278,0.5751395980432865,0.14435126816740995,-0.19350910713194114,0.003635058673658445,0.09715175830188107,-0.040223371665980494
1962-11-01,0.09109164971494813,-0.35512290518635636,-0.19734964472346123,-0.00641477296916701,0.32144249036536776,-0.15135550050370505,-0.3614269283503623
1962-12-01,-0.12605124463205952,-0.024600041940762984,-0.15888564441750083,-0.15160036860839465,0.19280508610852873,-0.07197281543773257,0.16733733385101018
1963-01-01,-0.049949988093464,-0.34141914702879866,0.023400860642162718,0.1626097062926595,0.19539563360319218,-0.11791895108596245,0.1060288743567296
