"date","V1","V2","V3","V4","V5","V6"
"1960-01-01",-0.0101166018273448,0.00116582190558561,0.00212606758440408,0.0111766775763678,0.0076456202416823,-0.00276340504449255
"1960-02-01",0.0048987292105617,0.00545015787674895,0.00745220522811386,-0.000383201082846082,-0.0149734275100168,-0.0126944545429309
"1960-03-01",-0.00401703602721982,0.00622333473160914,0.00168265756280895,-0.000258264282600326,-0.0133263740102677,-0.00658534675622575
"1960-04-01",0.00261439936204825,-0.00258496480362311,0.00346761385333952,0.000714581603718605,-0.0107318855374626,0.000918436321795682
"1960-05-01",-0.00295944033806322,0.00913649848964494,-0.000376715861595356,-0.000465183117346496,0.00237737745600024,-0.00207028798078118
"1960-06-01",-0.00267454194808512,0.00224710930811813,-0.00491020901294004,-0.00609717635694552,-0.00753682966227116,0.00276163005899889
"1960-07-01",-0.00241519380499769,0.00365109389869946,-0.00212558332699844,-0.000213785230194141,-0.00529056255622569,0.0027066269722971
"1960-08-01",-0.00270508353086628,-1.17261231600546e-05,-0.00343589705339871,0.000392308470017907,-0.0039787623675985,0.00191699184029199
"1960-09-01",0.000886871215395948,0.010966038724671,-0.00330573288788171,0.00204016626169842,-0.00468464068600014,0.00284584616703899
"1960-10-01",-0.00417170428390149,0.00437567728769503,-0.00748050101627414,0.00858160241746724,-0.00397796495027217,0.00332070574387438
"1960-11-01",0.00202070440219354,0.0105296043988683,-0.00829135522447466,-0.00336051254880808,-0.00469018922185525,0.00423373490037875
"1960-12-01",0.00149129058649571,0.0101601306536014,-0.0129345129773736,-0.00153064164864947,-0.00668762705308206,0.00816435843312294
"1961-01-01",-0.00168801549582131,0.00644194890342907,-0.010353074719512,0.00158324027320654,0.00202830384116935,0.00794779047605848
"1961-02-01",-0.00745367396642939,0.00201096848955696,-0.00698020589102681,0.000118886154318504,0.00309272513416643,-0.00337707868255209
"1961-03-01",-0.00360216670444378,0.000239029861727639,-0.00602739855164649,0.00165727840458141,0.00451597404256033,0.004481477435095
"1961-04-01",-0.014153152246806,0.00177275819117635,-0.00550766450104042,0.00871315986468631,0.0120019021007578,-0.00640436881444418
"1961-05-01",-0.0108549928918031,-0.00157798038848694,-0.000818720103220091,0.00849277745053992,0.00389674435695904,-0.00989535834856095
"1961-06-01",-0.00437340763946385,0.00361491772513285,9.26812987476548e-05,0.00858211622795454,0.00398979502711756,-0.00731569466398804
"1961-07-01",-0.00299996087858452,0.00410900212728941,-0.0026974192271029,0.0116686661244818,-0.00416998316552211,-0.00737635090844732
"1961-08-01",-0.00484254501002736,0.00276837223953791,0.00187945515331527,0.00215633386443437,0.00685561144897706,-0.0111038988735658
"1961-09-01",0.00389125697294277,0.00766094094584072,-0.00104710957285099,0.000498554458930571,-0.00636960029570668,-0.0063124469397261
"1961-10-01",-0.00776719001289285,-0.00346882553045465,0.000602423331020234,0.0053598340857716,0.0076837967021865,-0.00499362919914008
"1961-11-01",-0.00898862205578688,-0.00489457829791853,0.00374576259845396,0.0030744034049808,0.00818854453308776,-0.0120022377582811
"1961-12-01",-0.00280869220441691,0.00171028053059384,0.000330927371927478,0.00565268551349846,0.00159511740692398,-0.00807030719144588
"1962-01-01",0.00875416184007704,0.010221572274558,-0.00152303399894975,0.00302026631871849,-0.01173906756526,-0.00154125935291305
"1962-02-01",-0.00199427128722976,-0.00369981645779207,0.000935543396672911,0.00809932453404956,-0.000415429423215988,-0.00101504054591534
"1962-03-01",-0.00422831732568471,0.0013405879255189,0.0055718421633967,-0.00149647136378049,0.00143350191235558,-0.0112226534180345
"1962-04-01",0.00244008557298738,0.00152087330244703,0.00624532436052286,0.00209743472189441,-0.00638518936864444,-0.00592968195062342
"1962-05-01",0.00264434259586615,0.0094322680149976,0.00291768328587788,0.00444183609136213,-0.00672327487190609,-0.00551230792136138
"1962-06-01",0.00503569644140734,0.013758041595638,0.00554929790532228,0.00593842557775719,-0.01118818600932,-0.00386772551989106
"1962-07-01",-0.0054726274919286,0.00172363116123925,-0.000206153238229484,0.00357226377207263,0.00656098649455616,-0.00560704818359595
"1962-08-01",0.000477164447312714,-0.00321435122180958,-0.00234814798674157,0.0026051889364953,-0.00594405103842328,-0.00139369439332321
"1962-09-01",0.000158647916874931,-0.00264594765104804,-0.00105014816358852,0.00714403190326833,-0.00558070937243728,0.00249336195566657
"1962-10-01",0.000661492301245069,0.0110242244556615,0.00677161037848279,-0.00660281630148632,0.00239941380378335,-0.00534795675627099
"1962-11-01",-0.00563288679019884,-0.00658113491821486,-0.00344972579673311,-0.00174891591150465,0.00577839100929737,-0.00546137007339353
"1962-12-01",-0.000428545453979379,0.000884276328853776,-0.00297980039481065,-0.00337945183860262,0.00300404544661038,0.00160499931626772
"1963-01-01",-0.00407363283593773,-0.00444960593804712,-0.00366367052257732,0.00437667556561264,0.002201366999283,0.0019018871421683
"1963-02-01",-0.00354974654418619,-0.000912635357242278,0.000452113012527905,0.00255311743844484,0.00307944393939497,-0.00096549428838397
"1963-03-01",-0.000783066691612038,0.00222989867835169,0.00244657507324786,0.000539126199761209,0.00107532661590157,-0.00318099588660575
"1963-04-01",-0.00122672406461944,-0.00372384045106091,0.00225859584706518,-0.00042873336918818,0.00397815731997178,-0.00354497402701263
"1963-05-01",-0.00224071894553185,-0.00334262965498477,-0.000551127467742671,0.00199867142428107,0.00160828208525058,-0.0042344596074509
"1963-06-01",0.00157625993253946,0.000368624717153093,-0.00254625301218203,0.00345260682606611,-0.00121904623496055,0.00138525316587857
