"","RPI","W875RX1","DPCERA3M086SBEA","INDPRO","IPFPNSS","IPFINAL","IPCONGD","IPDCONGD","IPNCONGD","IPBUSEQ","IPMAT","IPDMAT","IPNMAT","IPMANSICS","IPB51222S","IPFUELS","CUMFNS","HWI","HWIURATIO","CLF16OV","CE16OV","UNRATE","UEMPMEAN","UEMPLT5","UEMP5TO14","UEMP15OV","UEMP15T26","UEMP27OV","CLAIMSx","PAYEMS","USGOOD","CES1021000001","USCONS","MANEMP","DMANEMP","NDMANEMP","SRVPRD","USTPU","USWTRADE","USTRADE","USFIRE","USGOVT","CES0600000007","AWOTMAN","AWHMAN","WPSFD49207","WPSFD49502","WPSID61","WPSID62","OILPRICEx","PPICMM","CPIAUCSL","CPIAPPSL","CPITRNSL","CPIMEDSL","CUSR0000SAC","CUSR0000SAD","CUSR0000SAS","CPIULFSL","CUSR0000SA0L2","CUSR0000SA0L5","PCEPI","DDURRG3M086SBEA","DNDGRG3M086SBEA","DSERRG3M086SBEA","CES0600000008","CES2000000008","CES3000000008","CMRMTSPLx","RETAILx","HOUST","HOUSTNE","HOUSTW","PERMIT","PERMITNE","PERMITS","PERMITW","AMDMNOx","AMDMUOx","BUSINVx","ISRATIOx","M1SL","M2SL","M2REAL","TOTRESNS","NONBORRES","BUSLOANS","REALLN","NONREVSL","CONSPI","S.P.500","S.P..indust","S.P.div.yield","S.P.PE.ratio","CP3Mx","TB3MS","TB6MS","GS1","GS5","GS10","AAA","BAA","COMPAPFFx","TB3SMFFM","TB6SMFFM","T1YFFM","T5YFFM","T10YFFM","AAAFFM","BAAFFM","EXSZUSx","EXJPUSx","EXUSUKx","EXCAUSx","DTCOLNVHFNM","DTCTHFNM","INVEST","FEDFUNDS"
"matriz_fhatPC1",0.0792395802637114,0.100553513290347,0.0613432642969537,0.207143235147278,0.194282340526598,0.181721590215951,0.149486802932477,0.146619054709723,0.0850649108094267,0.169471506668797,0.183697694878703,0.186270731234639,0.120051638165484,0.208875401140657,0.00450587836752873,0.0247984958795572,0.202990821129649,0.104799211563618,0.130210966395645,0.0371127525507353,0.119100258218407,0.14144579841767,0.0259322550381734,0.0460169557618208,0.073811262110032,0.101487570511844,0.0774982856453779,0.0658327337743598,0.118294927710593,0.196762843157243,0.204029469641463,0.0331290106170541,0.131538639860462,0.18977424985002,0.184837680557352,0.139657714400627,0.138072454700694,0.151763506424722,0.142334782611134,0.128088552007725,0.0887659910772644,8.13441615630219e-05,0.0917417622991539,0.082426826705309,0.0944979830750038,0.00315437571867227,0.00286411738149635,0.0185636241127813,0.00161771717958022,0.0023121326059377,0.00504807851242656,0.0183924014783716,0.0218857074045684,0.00706011674223226,0.00504451561475369,0.0125014093705553,0.0135248708989226,0.0225576541018482,0.0120821359210689,0.0149135337688034,0.0184954556444182,0.0172908927893997,0.00282594804832906,0.0146360036096232,0.00530567166276879,0.00307068828971535,0.0352868737941395,0.0294727954622968,0.118198085257157,0.0758005738693993,0.138581723386503,0.0943062601980482,0.111302217667062,0.123211030938626,0.112525220055636,0.0794767506104143,0.106611423945005,0.086385783526732,0.0863024351398931,0.0365707105534164,0.115976591395529,0.0347444769477484,0.0170963384204589,0.0273433069899113,0.0174713708133523,0.0161653645446819,0.0227104806664593,0.0171832030941711,0.025718771880775,0.0284368335395295,0.00543870571489233,0.00366100740244403,0.0177293480741456,0.0230360782328128,0.0595304347423678,0.0683077368073885,0.0687245513328965,0.0673749671028702,0.0925809403625945,0.087784388657025,0.0819501908493081,0.0590228396950029,0.0649589239735694,0.0888533814864332,0.0889553347089132,0.0871079277720365,0.057451601217668,0.0520908537600725,0.0367573399708656,0.0197273255817046,0.0259506227400222,0.00132631431434847,0.015655187036814,0.0269644588654069,0.00426149972863449,0.00984615164768308,0.00379333649080014,5.29655933477602e-17
"matriz_fhatPC2",0.0481721989587827,0.0424373792039498,0.0872558760736187,0.0268264190290204,0.0282338210688293,0.0277934975685971,0.0527935078882755,0.0571434876278814,0.0199124248966312,0.0107064942043231,0.0221217630286622,0.0216420789937058,0.0339981394973974,0.0326562039785624,0.00398845157769161,0.00741677561407024,0.0477244913462808,0.0263891229734205,0.0481467361052877,0.0487812442742712,0.0379229493686413,0.00991389512277159,0.0441101445464037,0.0318551954839637,0.0152300133943563,0.0183718791484951,0.0104484556067531,0.0122235241776264,0.059470265808687,0.0555196838757761,0.0344162616042878,0.102584875340174,0.00256326217455065,0.037308863056375,0.0379298430248883,0.0218160484202723,0.0725289036214433,0.0762099085080002,0.118206732663464,0.0489341049128807,0.0674223678608481,0.0252860308770503,0.0171098167656422,0.0185693361086334,0.0136022688942073,0.0735640217904287,0.0769390723141626,0.0713141075386206,0.0513322197978548,0.0363474044972147,0.00810658806925549,0.118140359972933,0.0230350220274742,0.0868578127086695,0.0106024204616015,0.112291717195311,0.0381917506420862,0.0363852144811399,0.0912597380918691,0.115537438787705,0.11170979886812,0.107901175101647,0.0195215003165731,0.109627219501654,0.0278935168698444,0.00276540863613132,0.0037413323614358,0.00231415026091097,0.0614593288196878,0.0109163921422338,0.0107061898360537,0.0205674283490973,0.0113079356395536,0.00588758514695655,0.0103548267866872,0.00360028719868404,0.0113089121001076,0.0257344023368332,0.118806560371432,0.188068277576736,0.0574512002447604,0.0654658539173558,0.0331087228356497,0.17712415303967,0.0192713086166836,0.0191203406631774,0.00460071314107847,0.0208277370150737,0.0171092492245286,0.0064040235687691,0.148861622805928,0.143840206344347,0.176338178483681,0.179377579873728,0.0789225976925437,0.096809571927254,0.142168720897332,0.158136943318392,0.161473432915454,0.170101714008829,0.193883252524524,0.209073591723129,0.12799479968267,0.199400163164297,0.207164392560237,0.204192903034575,0.253133839250333,0.257323411941897,0.261472429566472,0.260443369303364,0.0480977791338579,0.0563415726947519,0.030891727481182,0.0373468034548037,0.0151573155980137,0.0147431660505249,0.000460115800534611,7.65029261000951e-17
"matriz_fhatPC3",0.058042646514108,0.0679346298930245,0.000883291533694469,0.00848414144586218,0.000612606751767229,0.00780212049763797,0.0221741803767953,0.00435616737038722,0.0341242532127268,0.0493813503725713,0.0126843330647785,0.00176320066312214,0.00258947715001201,0.00449553047899195,0.0277317342555442,0.0215112896214843,0.00260404071484476,0.0470090601345152,0.0336233954829431,0.0183392050731317,0.0138954900219148,0.00421720355092511,0.0082523198997639,0.00889786252034149,0.0342908589155599,0.0104554798127699,0.0141286787758137,0.0318451534194842,0.0129034356970003,0.0248832898295723,0.0274820822655512,0.0607358972466069,0.015936681165108,0.0241032825691726,0.0283804862798898,0.00274161132887249,0.0217384405252096,0.0244194077338755,0.0313121647854552,0.0144575348552694,0.0379090516434488,0.0166458405676159,0.0212187714938471,0.00748694616621296,0.0195291510980903,0.226368681520277,0.232907668587915,0.21814972375755,0.182559429578628,0.124847980596227,0.039862847867331,0.288297716767244,0.0640405985264693,0.257103861857451,0.0237303692182899,0.301101066045293,0.0585518275649766,0.050910410000201,0.249064383703223,0.292389976380278,0.279067549071698,0.263728264599228,0.0496554463428765,0.300041408900674,0.0383156886566868,0.0133928957072273,0.0149395537600413,0.00286468099052177,0.00826358872618644,0.0295237109795854,0.00197983944452448,0.010930546751758,0.0203339579915444,0.0177710100977971,0.00404187529016798,0.0139637297459883,0.0174845554396253,0.0180622569902872,0.0573636364010956,0.0870922422359062,0.0650277693770585,0.0188150013749267,0.0348854336866014,0.0104194098306062,0.0149717046199608,0.023147236402545,0.0189487437862782,0.0112813994830387,0.0356389632682583,0.0355635312322905,0.0553501686278566,0.0590323117394438,0.065293951090811,0.055209315914928,0.0339184186908697,0.0261740591526247,0.051587827881545,0.0583388054653547,0.0456863329817856,0.0450811282074615,0.0558233927983172,0.0815180846223202,0.0343282019005318,0.0753504482275308,0.0768909742379041,0.0754787240235187,0.101443777930076,0.104648798073953,0.108447584744186,0.107173951079964,0.0336043590905299,0.0493235227879103,0.0293556596308424,0.04275638181495,0.0243794805551904,0.000451938172370598,0.00146355598919742,2.67660254773626e-17
"matriz_fhatPC4",0.0505501253385051,0.0499550035087494,0.0430738876632969,0.00700325493583927,0.00354164182998261,0.00487862664094659,0.0320816312170402,0.0364598939280037,0.0141092230456758,0.0376944284252897,0.00890835976464604,0.00946785362518935,0.0076007722480433,0.00159127893210474,0.0466327258850609,0.0267363624054045,0.0140466772970858,0.0011726702967487,0.00511106586692762,0.0476447457549061,0.047243517373315,0.00452081936198305,0.0754299613784368,0.0566880490688517,0.0203646095644247,0.0863391369744783,0.0527298084916213,0.0785411300470462,0.0344800218817207,0.118766860596723,0.0797696618691934,0.0280140259770547,0.0661802808268077,0.0611092473574218,0.0514893839433589,0.0709624976507299,0.129337437675578,0.109371247672339,0.0895817970687697,0.089515206952099,0.0773335148581527,0.0574560398395028,0.0755011062629138,0.0696309939755563,0.0673469144254553,0.0166520755269717,0.0143726771325587,0.0248286220891205,0.0184186371300072,0.00301477134195895,0.0090295406297537,3.10034971233355e-05,0.0171183976589979,0.0140768053639145,0.0196338503634581,0.00608468850711826,0.0180585816565406,0.0202883298981354,0.00761160044825192,0.00745099647236487,0.00575993206666417,0.00155463692757175,0.00308572373267528,0.00827916283303132,0.012889066284205,0.0114539297321135,0.0289020477256439,0.0319916210649741,0.0441464400600064,0.0494755700973765,0.0632639565231354,0.0916140537260497,0.0367011736460158,0.0405766306622684,0.0758513562199193,0.0290360634709085,0.0278979653089007,0.00381100695586674,0.0916112295410676,0.0963109295936792,0.0114729166510935,0.065271722305361,0.0814400947621553,0.00600718186199123,0.00155185435661929,0.0251189857099155,0.0567352066144886,0.00251738433739554,0.00275597626206644,0.00274494927210364,0.114367961170418,0.108025496399235,0.118274796052336,0.0845886545151282,0.175987230865096,0.204194727707968,0.224674011992259,0.251759986313345,0.291436603702122,0.292776049987544,0.280288314997521,0.245250726383473,0.178095811796141,0.165476094214925,0.168081213489767,0.18792000362145,0.161211309529913,0.152297106689832,0.139489706078262,0.134368215649242,0.119951556026834,0.0960320353696829,0.0913167905959748,0.0840927656302511,0.0247742601810977,0.0116198624043128,0.00655293807514948,4.65754868198761e-17
"matriz_fhatPC5",0.0507031359790968,0.0291769153339923,0.0479828022391704,0.16295472942452,0.181437430106257,0.200333659370429,0.222539797734603,0.182918727226271,0.167957950536874,0.090790947110635,0.120833763961386,0.0983804344558043,0.0887848526329277,0.150758837272745,0.0649341112506317,0.0346584043818594,0.13812587336673,0.019238126489087,0.0229279891561359,0.0513797951444795,0.0791167643829976,0.0535483842615997,0.0970269286613747,0.014458718146842,0.00476960829892797,0.10863453792316,0.052957535067962,0.104534312890107,0.0353678396780114,0.0297732235869585,0.00486362539780466,0.00301459937751427,0.089068028865889,0.0412570343099278,0.0369993846260476,0.0447488871688245,0.0494652642800425,0.0851484478499227,0.0787907875806231,0.0732873805167107,0.0892669636538531,0.00353070856871512,0.00214235699192368,0.0627919289016167,0.0379526351853926,0.0101830866310842,0.00585191739469105,0.00776828961040552,0.0179950295244935,0.00611763026190822,0.00298185545060196,0.0173918317732817,0.0178146965898572,0.0204734909352134,0.0286271052246878,0.0191050177527196,0.0185739429135357,0.0164483491653172,0.0277858968718158,0.0172968408686913,0.0187180692056057,0.00290643715461366,0.00770979105077267,0.0188482332532669,0.0171250763578205,0.0061254607797158,0.0412533379390476,0.0270148039224528,0.0607656944955894,0.0477529798346462,0.285643982250138,0.143481290256219,0.276699946085064,0.288994206809928,0.179502617389994,0.232987143003235,0.281637215677406,0.0489834278124302,0.0581916190164161,0.0384508296400092,0.0875149281162943,0.0175161926743676,0.000591008132206633,0.0596192533449342,0.0167399512006541,0.0140816089912215,0.0144058681067071,0.00661277027545763,0.0355492990918078,0.18526414460923,0.0213190070349168,0.0199667557689876,0.0262676605381952,0.0553519074983876,0.0550246811120241,0.0733392430709656,0.0540645271209146,0.0532841017277464,0.0578073041059611,0.0582359845398781,0.0357241231348742,0.0174352114658373,0.0194979656473343,0.0892292164674195,0.093134196120258,0.0876856379035605,0.0866728862219339,0.0950241710766121,0.104243217832998,0.091342759153177,0.0756516842609301,0.0609441927102983,0.093189751640489,0.0503026911191316,0.0241225522936693,0.02438546279646,0.00411513538841815,4.0552685865693e-17
"matriz_fhatPC6",0.0413025604508142,0.0289821264762614,0.135038851945883,0.000218376947635161,0.00507820708864911,0.00278920049111863,0.0246627867407372,0.0216366133400812,0.0176114613599415,0.0302415843050328,0.00180948868597775,0.00812626453398134,0.0168615678519566,0.00495099781612593,0.0141689927297433,0.011178366030724,0.0106617723647152,0.0616460462904551,0.0532406124176156,0.00345643492247579,0.0017822381754121,0.011158568468369,0.0871614864333135,0.0533527535670416,0.0129769005474619,0.0788762187186117,0.0411393072293481,0.0703755342703992,0.0827873143693036,0.085857171542477,0.0653196766774847,0.0303735104799413,0.0123192306917183,0.0996016663613458,0.0808868276785606,0.122848791460001,0.0949910056102453,0.0622040027482661,0.0640544879481016,0.0499627491980274,0.0232792143603764,0.124879191906774,0.109956990182683,0.0336460205838622,0.107868263866225,0.0491880149487286,0.0510626080038701,0.0137683915819609,0.0325893380119399,0.00312139285105553,0.0462037005482459,4.98689232394093e-05,0.0644261905711952,0.00424246408846278,0.0349349650757586,0.00706273529646596,0.0396432724375864,0.074259344408404,0.0209379856424903,0.00023454537571222,0.00452936192378617,0.0272802573868455,0.0355826797372293,0.00854499238374365,0.0448307140793946,0.0139901035217302,0.01085070411505,0.0297647496797401,0.118450802853243,0.157828075711755,0.120071348526265,0.0311698634386383,0.129076606673256,0.151307266137333,0.01485326716952,0.188049144999192,0.157564086740972,0.0916926167894396,0.0546513110187889,0.0937977557863646,0.170257560517673,0.0144515019973969,0.0446845009721324,0.0154503180766618,0.0235741479676202,0.0161036296779214,0.00986192538293643,0.0183281403608346,0.0184005434773499,0.0657764791195528,0.310896920792795,0.31456078442656,0.284088379260494,0.299049122531234,0.0536843341385481,0.130200464207213,0.146779078705953,0.137650601733364,0.125381689586502,0.110918211279561,0.0651394117975489,0.0342325695390763,0.188267934066926,0.125683705619485,0.148837083273043,0.135504533537493,0.123734309345407,0.108828489738914,0.0818349594360727,0.0472894634699238,0.0981334190796073,0.0533417220574502,0.0528484469044378,0.0559185646720931,0.00223430800267928,0.00431168857113105,0.0187174461181185,4.77225524627128e-17
